"","b_LW_PFat","b_LW_PFat.1"
"68",0.0194726,0.0194726
"69",0.0188224,0.0188224
"70",0.0185452,0.0185452
"71",0.01935,0.01935
"72",0.0196408,0.0196408
"73",0.0199645,0.0199645
"74",0.0181783,0.0181783
"75",0.0185219,0.0185219
"76",0.0196064,0.0196064
"77",0.0192421,0.0192421
"78",0.0192656,0.0192656
"79",0.0202028,0.0202028
"80",0.0189637,0.0189637
"81",0.0185358,0.0185358
"82",0.0193286,0.0193286
"83",0.0195922,0.0195922
"84",0.0201149,0.0201149
"85",0.0193894,0.0193894
"86",0.0208418,0.0208418
"87",0.0192011,0.0192011
"88",0.0196538,0.0196538
"89",0.019313,0.019313
"90",0.0188269,0.0188269
"91",0.0188949,0.0188949
"92",0.0193797,0.0193797
"93",0.0178032,0.0178032
"94",0.0179706,0.0179706
"95",0.0178832,0.0178832
"96",0.0178633,0.0178633
"97",0.0191618,0.0191618
"98",0.0200455,0.0200455
"99",0.0192873,0.0192873
"100",0.0186789,0.0186789
"101",0.0187931,0.0187931
"102",0.0183573,0.0183573
"103",0.0196054,0.0196054
"104",0.0202236,0.0202236
"105",0.0192096,0.0192096
"106",0.018288,0.018288
"107",0.0209251,0.0209251
"108",0.0187597,0.0187597
"109",0.0183801,0.0183801
"110",0.0203443,0.0203443
"111",0.0181472,0.0181472
"112",0.0186647,0.0186647
"113",0.0199709,0.0199709
"114",0.0193458,0.0193458
"115",0.019268,0.019268
"116",0.0185275,0.0185275
"117",0.0190982,0.0190982
"118",0.0193213,0.0193213
"119",0.0193499,0.0193499
"120",0.0186832,0.0186832
"121",0.0195687,0.0195687
"122",0.019176,0.019176
"123",0.019602,0.019602
"124",0.0196979,0.0196979
"125",0.0197819,0.0197819
"126",0.0188213,0.0188213
"127",0.0203379,0.0203379
"128",0.0175938,0.0175938
"129",0.0200451,0.0200451
"130",0.0190791,0.0190791
"131",0.0195012,0.0195012
"132",0.0190268,0.0190268
"133",0.0187208,0.0187208
"134",0.0187618,0.0187618
"135",0.0197873,0.0197873
"136",0.0192559,0.0192559
"137",0.0173844,0.0173844
"138",0.0179666,0.0179666
"139",0.0207077,0.0207077
"140",0.0192025,0.0192025
"141",0.0183563,0.0183563
"142",0.0195427,0.0195427
"143",0.0187706,0.0187706
"144",0.0185313,0.0185313
"145",0.018713,0.018713
"146",0.0195054,0.0195054
"147",0.0188982,0.0188982
"148",0.0179227,0.0179227
"149",0.0188217,0.0188217
"150",0.020033,0.020033
"151",0.0170179,0.0170179
"152",0.0185324,0.0185324
"153",0.0196726,0.0196726
"154",0.0186368,0.0186368
"155",0.0192201,0.0192201
"156",0.0200851,0.0200851
"157",0.0178067,0.0178067
"158",0.0194128,0.0194128
"159",0.0194868,0.0194868
"160",0.018687,0.018687
"161",0.0200242,0.0200242
"162",0.0200006,0.0200006
"163",0.0185426,0.0185426
"164",0.0188557,0.0188557
"165",0.0194061,0.0194061
"166",0.018562,0.018562
"167",0.0185283,0.0185283
"168",0.0192154,0.0192154
"169",0.0183683,0.0183683
"170",0.0199204,0.0199204
"171",0.0189082,0.0189082
"172",0.019249,0.019249
"173",0.0188351,0.0188351
"174",0.019187,0.019187
"175",0.0196089,0.0196089
"176",0.0192424,0.0192424
"177",0.0195784,0.0195784
"178",0.0184715,0.0184715
"179",0.0200455,0.0200455
"180",0.0197362,0.0197362
"181",0.0191311,0.0191311
"182",0.0191362,0.0191362
"183",0.0190238,0.0190238
"184",0.0193601,0.0193601
"185",0.0193202,0.0193202
"186",0.0176622,0.0176622
"187",0.0167005,0.0167005
"188",0.0184677,0.0184677
"189",0.020015,0.020015
"190",0.0184389,0.0184389
"191",0.0192229,0.0192229
"192",0.0185802,0.0185802
"193",0.0192305,0.0192305
"194",0.0205293,0.0205293
"195",0.0197222,0.0197222
"196",0.0195421,0.0195421
"197",0.0177085,0.0177085
"198",0.0199495,0.0199495
"199",0.0191889,0.0191889
"200",0.0200673,0.0200673
"201",0.0183837,0.0183837
"202",0.0194212,0.0194212
"203",0.0191101,0.0191101
"204",0.0197221,0.0197221
"205",0.0204415,0.0204415
